PLAYER_ID,PLAYER_NAME,ROOKIE_SOURCE,GP,RPG,APG,MPG,PPG,TS_PCT,USG_PCT,HAS_IMPUTED_STATS,TRANSLATED_MPG,TRANSLATED_PPG,TRANSLATED_RPG,TRANSLATED_APG,TRANSLATED_TS_PCT,TRANSLATED_USG_PCT
1643419,Hannes Steinbach,NCAA,30.0,11.8,1.6,34.6,18.5,0.636,0.242,False,19.747,8.65065,5.87868,1.2123400000000002,0.5483964,0.169791
1642892,Bennett Stirtz,NCAA,37.0,2.6,4.4,37.8,19.8,0.607,0.272,False,19.747,8.9412,2.0919600000000003,2.6050600000000004,0.5415843,0.17985600000000002
1643517,Dailyn Swain,NCAA,36.0,7.5,3.6,32.8,17.3,0.636,0.247,False,19.747,8.38245,4.1088000000000005,2.20714,0.5483964,0.1714685
1643509,Meleek Thomas,NCAA,37.0,3.8,2.5,30.5,15.6,0.559,0.236,False,19.747,8.002500000000001,2.58588,1.6600000000000001,0.5303091,0.16777799999999998
1643148,Saint Thomas,G-LEAGUE,36.0,5.1,3.8,29.5,12.5,0.573,0.174,False,19.725,6.9887500000000005,2.912,2.15346,0.544,0.1475172
1643570,Bruce Thornton,NCAA,34.0,5.1,3.9,36.6,19.9,0.665,0.237,False,19.747,8.96355,3.12096,2.35636,0.5552085,0.1681135
1643102,Trey Townsend,G-LEAGUE,24.0,2.2,1.0,18.7,4.6,0.589,0.104,False,19.725,2.57186,2.912,0.5667,0.544,0.08817119999999999
1643640,"Ernest Udeh, Jr.",NCAA,33.0,9.2,0.5,28.0,6.7,0.68,0.097,False,19.747,6.013350000000001,4.80852,0.6652,0.558732,0.1211435
1642870,Milos Uzan,NCAA,37.0,2.7,4.0,33.0,11.1,0.493,0.197,False,19.747,6.9967500000000005,2.13312,2.4061,0.5148057,0.1546935
1643539,Henri Veesaar,NCAA,31.0,8.7,2.1,31.3,17.0,0.664,0.233,False,19.747,8.3154,4.60272,1.4610400000000001,0.5549736000000001,0.16677150000000002
1643413,Keaton Wagler,NCAA,37.0,5.1,4.2,33.9,17.9,0.596,0.253,False,19.747,8.516549999999999,3.12096,2.50558,0.5390004,0.1734815
1643410,Caleb Wilson,NCAA,24.0,9.4,2.7,31.3,19.8,0.626,0.282,False,19.747,8.9412,4.890840000000001,1.75948,0.5460474,0.183211
1643547,Sergio de Larrea,INTERNATIONAL,54.0,2.2,3.0,14.6,6.8,0.587,0.213,False,21.424,5.9194,2.73748,2.8823999999999996,0.5221418,0.1747452
1641935,Jarkel Joiner,G-LEAGUE,50.0,2.3,3.8,23.6,10.9,0.562,0.2,False,19.725,6.09419,2.912,2.15346,0.544,0.16956000000000002
1631215,Khalifa Diop,INTERNATIONAL,47.0,4.2,0.7,16.4,3.8,0.683,0.106,False,21.424,3.3079,4.12528,1.09484,0.5472362000000001,0.0869624
